Ingredient,Frequency
"Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate",18
"Acetyl Hexapeptide-8",18
"Beeswax",18
"Methionine",18
"Hydroxyethyl Urea",18
"Dextrin",18
"Butyrospermum Parkii (Shea Butter)",18
"Fenoksietanol",17
"Octocrylene",17
"CI 77891",17
"CI 42090",17
"CI 77491",17
"Butylene Glycol Dicaprylate/Dicaprate",17
"Xylitylglucoside",17
"Anhydroxylitol",17
"Saccharide Isomerate",17
"DIMETHICONOL",17
"Melia Azadirachta Flower Extract",17
"Prunus Serotina (Wild Cherry) Fruit Extract",17
"Helianthus Annuus (Sunflower) Seed Oil",17
"Diethylhexyl Butamido Triazone",16
"Trisodium EDTA",16
"PENTAERYTHRITYL TETRAETHYLHEXANOATE",16
"MICA",16
"Cellulose",16
"MALTODEXTRIN",16
"AQUA / WATER",16
"PEG-7 GLYCERYL COCOATE",16
"ISODODECANE",16
"Eriobotrya Japonica Leaf Extract",16
"Mentha Viridis (Spearmint) Extract",16
"Bis-Diglyceryl Polyacyladipate-2",16
"Barium Sulfate",16
"Rosin",16
"Collagen Amino Acids",16
"CI 15850:1",16
"Biosaccharide Gum-4",16
"Copper Tripeptide-1",16
"Bambusa Vulgaris Extract",16
"Eucalyptus Globulus Leaf Extract",16
"Portulaca Oleracea Extract",16
"Alteromonas Ferment Extract",16
"Carica Papaya (Papaya) Fruit Extract",16
"Potassium Cocoyl Glycinate",16
"Aspartic Acid",16
"Alanine",16
"Proline",16
"Calendula Officinalis Flower Extract",16
"Aqua (Water",16
"Hydrated Silica",16
"Aroma",16
"VP/Eicosene Copolymer",15
"PEG-40 Hydrogenated Castor Oil",15
"Arachidic Acid",15
"Oleic Acid",15
"Hydrogenated Vegetable Oil",15
"AQUA/WATER",15
"BEHENTRIMONIUM METHOSULFATE",15
"TITANIUM DIOXIDE (CI 77891)",15
"Octyldodeceth-16",15
"Propolis Extract",15
"Sodium C14-16 Olefin Sulfonate",15
"Sodium Cocoyl Isethionate",15
"TRIPEPTIDE-1",15
"SODIUM LACTATE",15
"Hexapeptide-9",15
"000ppm)",15
"Chondrus Crispus Powder",15
"Eau)",15
"Hamamelis Virginiana Leaf Extract",15
"Cucumis Sativus Fruit Extract",15
"Pantenol",14
"Glycyrrhiza Glabra Root Extract",14
"Tapioca Starch",14
"Homosalate",14
"DIISOPROPYL ADIPATE",14
"BUTYROSPERMUM PARKII BUTTER / SHEA BUTTER",14
"Ascorbyl Glucoside",14
"C14-22 ALCOHOLS",14
"C12-20 ALKYL GLUCOSIDE",14
"CYCLOHEXASILOXANE",14
"3-O-Ethyl Ascorbic Acid",14
"Hydrogenated Castor Oil Dimer Dilinoleate",14
"Ethylene/Propylene/Styrene Copolymer",14
"Butylene/Ethylene/Styrene Copolymer",14
"Hydrolyzed Collagen",14
"Persea Gratissima (Avocado) Fruit Extract",14
"Polyquaternium-51",14
"Anthemis Nobilis Flower Extract",14
"Arnica Montana Flower Extract",14
"Potassium Chloride",14
"Peg-1 Stearate",14
"Gliserin",13
"Polyglyceryl-2 Dipolyhydroxystearate",13
"Cocoglycerides",13
"Sorbic Acid",13
"Petrolatum",13
"Glyceryl Stearate Citrate",13
"Benzyl Benzoate",13
"Lauric Acid",13
"HEXYLENE GLYCOL",13
"POLYMETHYLSILSESQUIOXANE",13
"GLYCERYL OLEATE",13
"PPG-1-PEG-9 LAURYL GLYCOL ETHER",13
"GLUTAMIC ACID",13
"Glutathione",13
"Simmondsia Chinensis (Jojoba) Seed Oil",13
"Camellia Sinensis Leaf Oil",13
"Cinnamomum Camphora (Camphor) Bark Oil",13
"Tryptophan",13
"Macadamia Ternifolia Seed Oil",13
"Hydrogenated Polydecene",13
"Citrus Limon (Lemon) Fruit Extract",13
"Malt Extract",13
"CYCLODEXTRIN",13
"SYNTHETIC FLUORPHLOGOPITE",13
"Ceratonia Siliqua (Carob) Gum",13
"Aspergillus Ferment",13
"Chamomilla Recutita Flower Extract",13
"CI 77499",12
"CI 77492",12
"Pantolactone",12
"CI 15985",12
"TIN OXIDE",12
"ISONONYL ISONONANOATE",12
"COCO-GLUCOSIDE",12
"ASCORBYL PALMITATE",12
"DIGLYCERIN",12
"Butyloctyl Salicylate",12
"Anemarrhena Asphodeloides Root Extract",12
"Malpighia Emarginata (Acerola) Fruit Extract",12
"Eclipta Prostrata Extract",12
"Pyrus Malus (Apple) Fruit Extract",12
"SODIUM ACRYLATES COPOLYMER",12
"malic Acid",12
"Tasmannia Lanceolata Fruit/leaf Extract",12
"Tyrosine",12
"Phosphatidylcholine",12
"Setearil Alkol",11
"Cetearyl Isononanoate",11
"Microcrystalline Cellulose",11
"Dicaprylyl Ether",11
"Rosa Damascena Flower Water",11
"Sucrose",11
"Chondrus Crispus",11
"Magnesium Sulfate",11
"Paraffin",11
"PERLITE",11
"ACRYLATES COPOLYMER",11
"AMMONIUM POLYACRYLOYLDIMETHYL TAURATE",11
"HYDROXYPROPYL TETRAHYDROPYRANTRIOL",11
"Retinol",11
"POTASSIUM PHOSPHATE",11
"MINERAL OIL (PARAFFINUM LIQUIDUM)",11
"CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL (CARTHAMUS TINCTORIUS SEED OIL)",11
"OLETH-10",11
"DISODIUM PHOSPHATE",11
"PHENYLENE BIS-DIPHENYLTRIAZINE",11
"Polyglyceryl-10 Oleate",11
"Mentha Viridis (Spearmint) Leaf Oil",11
"Helianthus Annuus (Sunflower) Seed Wax",11
"Palmitoyl Tripeptide-5",11
"Diethoxyethyl Succinate",11
"Usnea Barbata (Lichen) Extract",11
"Salvia Officinalis (Sage) Leaf Extract",11
"Opuntia Coccinellifera Fruit Extract",11
"Rubus Chingii Fruit Extract",11
"VITREOSCILLA FERMENT",11
"Pyrus Malus Fruit Extract",11
"Aloe Barbadensis Leaf Juice",11
"Acacia Seyal Gum Extract",11
"Calcium Carbonate",11
"Caprylic Capric Triglyceride",11
"Talc",10
"Carrageenan",10
"DROMETRIZOLE TRISILOXANE",10
"DIISOPROPYL SEBACATE",10
"STYRENE/ACRYLATES COPOLYMER",10
"HYDROGENATED STARCH HYDROLYSATE",10
"POLYGLYCERYL-10 MYRISTATE",10
"METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL [NANO]",10
"POLYGLYCERYL-4 ISOSTEARATE",10
"ISOPROPYL ALCOHOL",10
"ORYZA SATIVA (RICE) STARCH (ORYZA SATIVA STARCH)",10
"Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate",10
"Polyether-1",10
"PVP",10
"Methicone",10
"Pulsatilla Koreana Extract",10
"Olea Europaea (Olive) Fruit Oil",10
"C11-13 Isoalkane",10
"PVM/MA Copolymer",10
"Passiflora Edulis Fruit Extract",10
"Tetradecene",10
"Hexadecene",10
"Glycyrrhiza Glabra (Licorice) Root Extract",10
"Saccharum Officinarum (Sugarcane) Extract",10
"AQUA / WATER / EAU",10
"CETEARETH-12",10
"Hamamelis Virginiana (Witch Hazel) Extract",10
"Lavandula Angustifolia (Lavender) Flower Extract",10
"Melissa Officinalis Leaf Extract",10
"Cysteine",10
"Oryza Sativa (Rice) Extract",10
"Cinchona Succirubra Bark Extract",10
"Avena Sativa Kernel Extract",10
"Sodium Lauryl Sulfate",9
"Tokoferil Asetat",9
"Sodyum Laktat",9
"Kokamidopropil Betain",9
"Laureth-2",9
"Phenylbenzimidazole Sulfonic Acid",9
"Sodium Sulfate",9
"Dimethicone Crosspolymer",9
"Simmondsia Chinensis Seed Oil",9
"Steareth-2",9
"ZEA MAYS STARCH / CORN STARCH",9
"COCAMIDE MEA",9
